temp_09.tif,temp_10.tif,temp_11.tif,temp_12.tif,temp_13.tif,prep_09.tif,prep_10.tif,prep_11.tif,prep_12.tif,prep_13.tif,spi_09,spi_10,spi_11,spi_12,spi_13,di_09,di_10,di_11,di_12,di_13,st_200_e,st_100_e,st_60_e,cl_13_e,cl_12_e,cl_11_e,cl_10_e,soc_0.tif,soc_10.tif,soc_30.tif,cl_09,st_0,st_30_e,total_carb,organic_ca,ra_ca_id,date,datafrom,so_cstock5,so_cstock30,so_cstock100,geometry
15.17375088,15.31000042,16.0510006,16.82208443,14.88358402,100.0246658,100.0246658,130.7973328,100.6926346,153.8254242,-1.431249976,0.773333311,-0.259444445,0.060555551,0.792777777,-1.658611059,1.351111054,-1.504305601,-1.28347218,1.107222199,1,4,4,142,142,142,142,5,3,1,142,8,4,NA,NA,C1807F73,2012,raca,9.812220024,30.36373932,56.87465364,"c(-85.07, 34.73)"
18.70375061,18.25183487,19.16425133,19.60683441,18.58033371,91.16799927,91.16799927,77.36975098,86.8282547,155.5756683,-0.094722226,1.017777801,-1.635555506,-1.49444437,0.566527784,1.846666694,2.091388941,-4.284583569,-5.375,-0.403611124,4,4,4,143,141,142,141,7,5,4,190,7,4,NA,NA,C1509W01,2012,raca,7.463631008,28.18235219,47.39351782,"c(-85.06, 31.47)"
14.93575096,14.84383392,15.6091671,16.4438343,14.7966671,90.76074982,90.76074982,119.8655853,101.1659775,159.7779999,-1.42527771,0.698055565,-0.436666667,-0.191111118,0.71875,-1.446249962,1.407777786,-1.903194427,-2.270833254,0.969027758,4,4,4,141,142,143,142,3,2,1,142,8,4,NA,NA,C1810P07,2012,raca,23.22998671,56.80521063,72.07434034,"c(-84.99, 34.58)"
15.00550079,14.88508415,15.62866783,16.49900055,14.86216736,86.80716705,86.80716705,118.850502,96.67330933,155.1751709,-1.433194399,0.609444439,-0.610833347,-0.386388898,0.633333325,-1.160277724,0.963611126,-2.325138807,-2.697916746,0.911249995,4,4,4,121,121,121,121,2,2,1,121,7,7,NA,NA,C1810W03,2012,raca,17.49611609,48.48243331,125.6128901,"c(-84.95, 34.47)"
14.91791725,14.826334,15.62708378,16.48825073,14.83791733,93.03166199,93.03166199,121.1414185,102.1743393,158.4422455,-1.526527762,0.573194444,-0.417083323,-0.178194448,0.748472214,-1.426805496,1.398194432,-1.681805491,-2.111527681,1.217499971,4,4,4,143,152,152,152,2,2,1,176,8,7,NA,NA,C1801F22,2012,raca,106.3883866,132.2295181,132.2295181,"c(-84.94, 34.62)"
17.85741806,17.68250084,18.67650032,19.11566734,18.01450157,92.5929184,92.5929184,83.71091461,95.48553467,147.0299225,-0.076944441,1.409027696,-1.587499976,-1.550138831,0.503750026,2.364166737,3.138472319,-4.107638836,-5.561110973,-0.756805539,6,6,6,61,176,61,61,3,2,1,61,9,6,NA,NA,C1509F18,2012,raca,11.68878127,29.01417077,50.19598371,"c(-84.87, 31.84)"
20.40408325,19.36225128,19.93200111,20.23083496,19.36741829,98.53433228,98.53433228,93.62408447,100.2802658,161.636673,-0.344166666,0.481527776,-1.589027762,-1.11611104,0.367638886,0.259444445,-0.067638889,-4.046249866,-4.633749962,-0.7901389,6,6,6,1,10,1,2,2,2,1,2,9,6,NA,NA,C1507C08,2012,raca,6.30390763,22.23233148,41.89970129,"c(-84.84, 31.05)"
20.58300018,19.46116829,20.08625031,20.41625023,19.55808449,103.3351669,103.3351669,79.03649902,102.5382004,150.8539124,-0.382638901,0.510555565,-1.43638885,-1.207083344,0.369722217,0.676805556,0.676527798,-3.577500105,-4.420138836,-0.749722183,6,6,6,37,176,142,176,3,4,2,176,9,6,NA,NA,C1507F35,2012,raca,30.41733341,65.20331152,82.18926288,"c(-84.83, 30.94)"
15.69608402,15.77108383,16.44675064,17.23725128,15.60450077,91.57575226,91.57575226,98.79650116,76.07434845,137.9165039,-1.399027705,1.341388941,-0.857083321,-1.042083383,0.039999992,-1.008749962,2.71319437,-2.995833397,-4.416527748,-0.79124999,4,4,4,142,142,142,141,6,4,1,142,7,4,NA,NA,C1401F43,2012,raca,36.14751925,58.15876119,66.08019154,"c(-84.8, 33.75)"
17.59683418,17.54675102,18.48083496,18.99616814,17.83033371,85.89875031,85.89875031,85.18250275,89.19127655,136.8888245,-0.447916657,1.28458333,-1.002083302,-1.067083359,0.600000024,2.095138788,3.249305487,-3.112083435,-4.450833321,0.301527768,6,6,6,142,142,142,142,4,2,1,142,9,6,NA,NA,F1509R04,2012,raca,15.1684098,46.92686796,65.96141428,"c(-84.77, 32.37)"
20.42925072,19.32825089,20.10141754,20.48800087,19.66366768,106.4783325,106.4783325,76.78900146,107.3728256,146.7871704,-0.387500018,0.5088889,-1.429583311,-1.181527734,0.295833319,0.699166656,0.742638886,-3.556805611,-4.445000172,-0.83708334,6,6,6,2,1,2,10,2,2,1,1,9,9,NA,NA,C1507R05,2012,raca,8.331917417,35.93281584,53.63230778,"c(-84.77, 30.96)"
19.78116798,18.84008408,19.72458458,20.10783386,19.3120842,96.24424744,96.24424744,86.30233765,98.77281189,153.5438385,-0.399722219,0.289305568,-1.782777786,-1.186805487,0.213611111,0.571527779,-0.144999996,-4.084305763,-4.732361317,-1.028888822,6,6,6,2,10,2,2,2,2,1,10,9,6,NA,NA,C1507C03,2012,raca,4.616743464,27.70046078,42.13859662,"c(-84.75, 31.07)"
18.75900078,18.32741737,19.2179184,19.5292511,18.64116859,77.79724884,77.79724884,82.00983429,100.7323685,161.7460022,-0.302361131,0.360972226,-1.95763886,-1.370972157,0.463888884,1.277083397,0.413888901,-4.616805553,-5.264027596,-0.657777786,6,6,6,122,122,122,122,3,2,1,10,9,6,NA,NA,C1507C04,2012,raca,4.111273227,24.66763936,43.34128044,"c(-84.72, 31.33)"
15.63266754,15.72208405,16.44425011,17.14575195,15.46658421,91.89441681,91.89441681,100.2645798,78.73677826,135.3025055,-1.305277705,1.363749981,-0.644583344,-1.133749962,0.140833318,-0.782500029,2.717361212,-2.568472147,-4.602499962,-0.558750033,4,4,4,141,141,141,141,5,3,1,141,7,4,NA,NA,C1401F29,2012,raca,169.8121026,182.6322034,184.7264876,"c(-84.65, 34.09)"
19.17266655,18.49950027,19.37233353,19.77125168,18.96150017,92.09441376,92.09441376,83.65142059,93.55778503,158.2637482,-0.378055573,0.275138885,-1.847499967,-1.396666646,0.317916662,0.883472204,0.202083334,-4.33138895,-5.24444437,-1.01111114,6,6,6,225,225,10,2,3,2,1,1,9,6,NA,NA,C1507C07,2012,raca,2.777755419,16.66653252,36.34447079,"c(-84.65, 31.22)"
14.69008446,14.63575077,15.32883453,16.0790844,14.51141739,96.40558624,96.40558624,124.3320007,101.3511734,151.2720795,-1.32486105,0.958472252,-0.436250001,-0.646111131,0.530555546,-0.526111126,1.889583349,-1.996250033,-3.283888817,0.909861088,6,4,4,141,176,141,141,4,3,2,141,7,4,NA,NA,C1802P08,2012,raca,21.01436212,55.66301001,125.7469523,"c(-84.62, 34.39)"
19.55941772,18.65491676,19.6032505,20.08175087,19.32983398,99.13141632,99.13141632,80.5530014,93.83831024,148.5531616,-0.364444435,0.354722232,-1.726944447,-1.326111078,0.234444439,0.787777781,0.268333346,-3.85041666,-4.764444351,-0.943472207,6,6,6,10,225,2,2,2,2,2,10,9,9,NA,NA,C1507C01,2012,raca,4.925449673,29.55269804,52.31693727,"c(-84.61, 31.09)"
18.84225082,18.3480835,19.22958374,19.55350113,18.73900032,87.88791656,87.88791656,78.24066925,102.0414581,158.4594116,-0.383194447,0.426944435,-1.760972142,-1.420972228,0.33263889,1.019166708,0.629722238,-4.262639046,-5.310416698,-1.001805544,6,6,6,10,1,10,2,2,2,1,2,9,6,NA,NA,C1510C03,2012,raca,7.406276803,37.39100078,58.50049004,"c(-84.61, 31.27)"
14.12866783,14.03483391,14.6896677,15.34975052,13.76241684,86.58166504,86.58166504,117.0733337,102.7949066,168.2702484,-1.314444423,0.335694462,-0.780555546,-0.509722233,0.555555522,-0.800833344,0.44527778,-2.722361088,-3.241944313,0.586944461,6,4,4,141,141,141,141,7,5,1,141,7,7,NA,NA,C1802P07,2012,raca,24.1996596,63.07104947,161.0307101,"c(-84.48, 34.51)"
18.43925095,18.0949173,18.95325089,19.37700081,18.37666702,98.95258331,98.95258331,76.87258148,83.34332275,128.2704926,-0.312083334,1.136666656,-1.601944447,-1.513333321,0.330972224,1.689444423,2.505694389,-3.948055506,-5.454305649,-0.644166648,6,7,7,2,1,5,2,2,2,1,1,9,7,NA,NA,NA,2012,NA,NA,NA,NA,"c(-84.45, 31.65)"
17.04725075,16.87375069,17.70050049,18.24350166,16.68316841,101.0019989,101.0019989,79.14600372,79.52157593,146.7600861,-0.504027784,1.361111045,-0.780000031,-1.70430553,0.459583342,1.054444432,3.232638836,-2.751666546,-4.818194389,0.340138882,6,4,4,176,176,1,176,4,3,1,176,7,4,NA,NA,C1408P07,2012,raca,10.87893718,30.02324811,49.46863979,"c(-84.32, 32.69)"
13.24733448,13.12508392,14.10283375,14.56533432,13.09308434,106.1545868,106.1545868,112.1264191,107.7872314,169.2204132,-1.616944432,0.296388894,-0.461666673,-0.488194436,0.570138872,-2.28125,0.317222208,-1.887638927,-2.707222223,0.79124999,6,6,6,141,142,142,142,9,7,2,142,7,7,NA,NA,F1802F98,2012,raca,84.8102411,131.7868211,155.619955,"c(-84.24, 34.79)"
17.21916771,17.04766655,17.91266823,18.48933411,16.81833458,101.1732483,101.1732483,74.30858612,78.2276535,148.7133331,-0.395277768,1.428472161,-0.781666636,-1.90625,0.540555596,1.390138865,3.488055468,-2.408611059,-4.858611107,0.585277796,6,7,7,37,176,176,37,2,2,1,61,9,7,NA,NA,C1408P05,2012,raca,21.94173897,58.81667325,78.79245758,"c(-84.22, 32.65)"
19.02133369,18.44150162,19.39725113,19.75166702,18.84558487,106.5487518,106.5487518,70.89941406,83.95204926,126.1744995,-0.314166665,0.633194447,-1.323888898,-1.491944432,0.0625,1.169305563,1.829861164,-3.5,-5.344305515,-1.506527781,6,6,6,141,141,143,190,3,2,1,142,9,6,NA,NA,C1509F12,2012,raca,15.50559612,49.16748047,76.44019721,"c(-84.16, 31.15)"
14.27850056,14.4100008,15.27841759,15.73841763,14.14233398,136.9268341,136.9268341,142.1289978,137.5074158,214.2299194,-1.516388893,1.216388941,0.070138887,-0.239166662,0.840833306,-1.760277748,2.340694427,-0.508333325,-1.939166665,1.507361054,6,6,4,141,141,142,142,9,7,2,142,7,4,NA,NA,F1401F04,2012,raca,NA,NA,NA,"c(-84.09, 34.6)"
13.38008404,13.21050072,14.24416733,14.70383358,13.24708366,92.52658081,92.52658081,105.4497528,99.19723511,143.2186737,-1.633472204,0.364166677,-0.656388879,-0.708333313,0.505138874,-3.034305573,0.113194443,-2.61611104,-3.4397223,0.292638898,7,7,4,141,141,141,141,0,0,0,141,7,7,NA,NA,F1805F95,2012,raca,29.11532821,65.67205702,122.1193163,"c(-84.08, 34.93)"
12.08183384,12.14683437,13.22716713,13.5959177,12.27908421,126.3891678,126.3891678,128.4285889,117.0491867,187.6389923,-1.590277791,0.642638862,-0.155833334,-0.403611124,0.733888924,-2.11263895,0.932777762,-0.664583325,-2.175972223,1.271111131,9,6,6,142,142,142,142,10,7,2,142,7,7,NA,NA,F1809F92,2012,raca,29.22220594,58.15596789,69.73798637,"c(-84.08, 34.76)"
14.48375034,14.59875107,15.3915844,15.86833382,14.3374176,128.1050873,128.1050873,122.3856659,112.0645981,171.0525818,-1.501249909,1.379722238,-0.119305559,-0.450694442,0.722916663,-1.542500019,2.615972281,-0.726388872,-2.530972242,1.021666646,6,4,4,141,141,141,141,8,6,2,141,7,4,NA,NA,C1401F55,2012,raca,90.77324362,165.3901922,165.3901922,"c(-84.02, 34.48)"
17.57341766,17.4042511,18.388834,18.7060833,17.20275116,99.47433472,99.47433472,84.87391663,71.76639557,138.5297546,-0.31694445,1.404305577,-0.639027774,-1.567916632,0.751527786,1.123749971,3.819861174,-2.05694437,-4.869027615,0.807222247,6,4,4,141,142,142,190,5,3,2,142,7,4,NA,NA,C1402F02,2012,raca,194.5379389,244.9573274,272.7003788,"c(-84.01, 32.58)"
14.55308437,14.68166733,15.45783424,15.9396677,14.42758369,122.21875,122.21875,113.3168335,105.4635315,165.9889984,-1.487499952,1.315555573,-0.202638894,-0.517916679,0.730277777,-1.450833321,2.543750048,-0.831805527,-2.680555582,1.013055563,6,7,4,141,141,141,141,8,5,2,141,7,7,NA,NA,C1407F10,2012,raca,22.06386876,62.81324052,83.18271715,"c(-83.97, 34.45)"
13.95500088,14.08575058,14.90650082,15.31791687,13.89525032,129.098175,129.098175,135.9466705,120.8214569,195.7765808,-1.48444438,1.20763886,-0.127222225,-0.391666681,0.734305561,-1.572222233,2.281527758,-0.628194451,-2.303750038,1.308472276,6,6,4,141,141,141,141,5,5,2,141,7,7,NA,NA,C1401P01,2012,raca,18.88937436,51.74443297,54.04388802,"c(-83.93, 34.6)"
12.35075092,12.44900036,13.41741753,13.86100101,12.4995842,134.7656708,134.7656708,136.7982483,123.4229431,198.8654938,-1.631944418,1.364166617,-0.14902778,-0.435000002,0.716388881,-1.566527724,1.734583378,-0.664861083,-1.822777748,1.546944499,9,6,6,141,141,141,141,10,9,2,141,7,7,NA,NA,F1802F96,2012,raca,18.86738883,65.47749009,NA,"c(-83.91, 34.71)"
17.70283318,17.527668,18.56425095,18.95166779,17.6103344,99.51091766,99.51091766,79.00783539,71.70542145,127.3215866,-0.325138897,1.542916656,-0.755138874,-1.549166679,0.570833325,1.218333364,4.180416584,-2.253750086,-4.835277557,0.644861102,6,6,6,26,2,2,2,2,2,1,2,9,6,NA,NA,C1509C05,2012,raca,3.41006495,15.52384025,33.47135231,"c(-83.9, 32.31)"
17.95325089,17.72358513,18.65974998,19.03108406,17.98241806,100.0024185,100.0024185,75.95966339,64.67839813,127.1915817,-0.43972221,1.640277743,-0.791388869,-1.878472209,0.538194418,1.214861155,4.331250191,-2.013472319,-5.069444656,0.627499998,3,6,6,141,176,74,195,2,2,2,195,6,6,NA,NA,C1509C09,2012,raca,6.454999194,31.92887583,49.84780711,"c(-83.89, 32.15)"
14.37833405,14.51908398,15.32283401,15.78133392,14.33616734,121.4357529,121.4357529,117.5814972,112.1363525,160.2006683,-1.51236105,1.388333321,-0.135416672,-0.504305542,0.740694463,-1.493472219,2.587361097,-0.431527793,-2.700972319,1.099583387,4,4,4,142,176,176,176,6,5,2,176,7,4,NA,NA,C1403P07,2012,raca,16.89500036,51.00836054,102.71315,"c(-83.88, 34.49)"
19.27000046,18.8619175,19.76566696,19.91075134,19.23583412,83.46058655,83.46058655,83.350914,103.7244034,142.4790039,-0.529444456,0.155277774,-1.385277748,-0.97874999,0.39958334,0.946250021,0.393888891,-3.687916756,-4.27583313,-0.2533333,6,6,6,142,190,190,141,4,3,2,190,9,9,NA,NA,C1507C05,2012,raca,2.717493762,16.30496257,35.12412193,"c(-83.88, 30.91)"
12.56566715,12.60433388,13.57075024,14.03333378,12.63641739,132.2991638,132.2991638,134.5727539,121.1352921,189.4360046,-1.415416598,1.355555534,-0.123055555,-0.292083323,0.909166694,-1.164861083,2.006111145,-0.579583347,-1.571944475,1.942222238,6,6,6,141,141,141,141,13,10,2,141,7,7,NA,NA,F1809F98,2012,raca,81.62826592,182.4824126,235.3982036,"c(-83.84, 34.73)"
18.85091782,18.2903347,19.22533417,19.5917511,18.71216774,108.3911667,108.3911667,73.9414978,91.9275589,147.6974945,-0.44972223,0.812916696,-1.114444375,-1.387222171,0.635972202,1.21652782,2.541527748,-2.865139008,-4.865972042,0.177222207,6,6,6,2,2,2,2,2,2,1,2,9,6,NA,NA,C1507C10,2012,raca,3.38009918,20.28059508,35.95960324,"c(-83.79, 31.46)"
18.70841789,18.15516663,19.12441826,19.48458481,18.65725136,100.3608322,100.3608322,71.70600128,89.85441589,148.7955017,-0.46319446,0.745833337,-1.211944461,-1.335833311,0.68638891,1.22208333,2.3459723,-3.258333445,-4.767916679,0.330138892,6,6,6,61,61,61,2,2,2,1,50,9,6,NA,NA,C1509C03,2012,raca,4.540713378,23.90953202,34.85189681,"c(-83.75, 31.49)"
18.31725121,17.84341812,18.85250092,19.22525024,18.31500053,103.9935837,103.9935837,76.93499756,81.37233734,136.8014984,-0.657638907,1.237083316,-0.924444437,-1.570555568,0.654722214,0.854722202,3.257638931,-2.354583263,-5.10055542,0.374305546,6,6,6,142,142,142,142,4,3,1,142,9,6,NA,NA,C1505W12,2012,raca,17.09474765,73.62091124,131.2838747,"c(-83.71, 31.73)"
