ra_ca_id,temp_09.tif,temp_10.tif,temp_11.tif,temp_12.tif,temp_13.tif,prep_09.tif,prep_10.tif,prep_11.tif,prep_12.tif,prep_13.tif,spi_09,spi_10,spi_11,spi_12,spi_13,di_09,di_10,di_11,di_12,di_13,st_200_e,st_100_e,st_60_e,cl_13_e,cl_12_e,cl_11_e,cl_10_e,soc_0.tif,soc_10.tif,soc_30.tif,cl_09,st_0,st_30_e,x,y,so_cstock5,so_cstock30,so_cstock100,geometry
C1401F05,15.112667083740234,15.441166877746582,15.825167655944824,16.510168075561523,15.168084144592285,93.894500732421875,93.894500732421875,99.12383270263672,89.789947509765625,150.50050354003906,-1.221388816833496,1.240694522857666,-0.9120833277702332,-1.0255556106567383,0.433472216129303,-0.38111111521720886,2.269583225250244,-3.2412500381469727,-4.700416564941406,-0.33791667222976685,7,4,4,121,121,121,121,8,4,1,121,7,4,-85.26,33.739999999999995,93.3966784769006,154.457091185349,159.871873538539,"c(-85.26, 33.74)"
C1401F09,14.992167472839355,15.295917510986328,15.692917823791504,16.448251724243164,15.150500297546387,91.63783264160156,91.63783264160156,102.9766616821289,91.154876708984375,154.69190979003906,-1.221388816833496,1.240694522857666,-0.9120833277702332,-1.0255556106567383,0.433472216129303,-0.38111111521720886,2.269583225250244,-3.2412500381469727,-4.700416564941406,-0.33791667222976685,4,4,4,141,141,141,141,5,3,2,141,7,7,-85.25,33.78,9.51067285067161,24.9842402393662,33.5917501417116,"c(-85.25, 33.78)"
C1401F20,15.017333984375,15.316834449768066,15.87208366394043,16.450668334960938,14.965084075927734,95.57575225830078,95.57575225830078,102.07550048828125,89.99468231201172,141.49566650390625,-1.1573610305786133,1.2769443988800049,-0.9375,-1.03083336353302,0.47708335518836975,0.24500000476837158,2.2655556201934814,-3.369166612625122,-4.71180534362793,-0.4923610985279083,4,4,4,141,141,142,142,6,4,2,141,8,7,-85.3,33.61999999999999,78.486218169205,143.330314909307,157.453416209714,"c(-85.3, 33.62)"
C1401F26,17.29625129699707,17.21958351135254,18.136585235595703,18.56883430480957,17.16408348083496,100.99008178710938,100.99008178710938,85.95683288574219,72.47272491455078,123.3385009765625,-0.37291666865348816,2.0131943225860596,-0.17222222685813904,-1.422361135482788,0.3945833146572113,1.4273611307144165,5.2690277099609375,-0.8022222518920898,-4.4683332443237305,0.18319445848464966,6,6,4,142,142,142,142,5,3,1,142,7,7,-83.71,33.02,11.1858365166977,21.6416401926886,21.6416401926886,"c(-83.71, 33.02)"
C1401F28,15.454501152038574,15.605084419250488,16.207834243774414,16.948333740234375,15.532083511352539,105.22958374023438,105.22958374023438,94.61066436767578,92.67597961425781,135.4302520751953,-1.1881943941116333,1.5352777242660522,-0.4286110997200012,-0.9248610734939575,0.38277778029441833,-0.2980555593967438,3.414027690887451,-1.6302777528762817,-4.026389122009277,-0.4179166555404663,4,4,4,141,141,141,141,5,4,1,141,7,7,-85.12,33.48,12.5834780744942,53.6838057992394,58.0779068489954,"c(-85.12, 33.48)"
C1401F29,15.632667541503906,15.722084045410156,16.444250106811523,17.145751953125,15.466584205627441,91.89441680908203,91.89441680908203,100.26457977294922,78.73677825927734,135.30250549316406,-1.305277705192566,1.3637499809265137,-0.6445833444595337,-1.1337499618530273,0.14083331823349,-0.7825000286102295,2.7173612117767334,-2.568472146987915,-4.602499961853027,-0.5587500333786011,4,4,4,141,141,141,141,5,3,1,141,7,4,-84.65,34.09000000000001,169.812102623018,182.632203405154,184.726487637009,"c(-84.65, 34.09)"
C1401F31,15.048251152038574,15.265334129333496,15.837000846862793,16.420751571655273,15.117584228515625,97.68482971191406,97.68482971191406,94.9288330078125,97.74676513671875,140.46417236328125,-1.211527705192566,1.307361125946045,-0.6972222328186035,-0.8774999976158142,0.5736111402511597,0.42666667699813843,3.0756945610046387,-2.604583263397217,-3.9741666316986084,-0.02888888493180275,4,4,4,141,142,152,152,5,4,1,1,7,7,-85.26,33.34,97.645516464471,155.392175165214,160.186624088422,"c(-85.26, 33.34)"
C1401F43,15.696084022521973,15.77108383178711,16.44675064086914,17.23725128173828,15.604500770568848,91.57575225830078,91.57575225830078,98.79650115966797,76.07434844970703,137.91650390625,-1.399027705192566,1.3413889408111572,-0.8570833206176758,-1.0420833826065063,0.03999999165534973,-1.0087499618530273,2.7131943702697754,-2.995833396911621,-4.41652774810791,-0.7912499904632568,4,4,4,142,142,142,141,6,4,1,142,7,4,-84.80000000000001,33.75,36.147519245742,58.1587611867585,66.0801915409387,"c(-84.8, 33.75)"
C1401F44,13.329833984375,13.483667373657227,14.267583847045898,14.762500762939453,13.340750694274902,146.48707580566406,146.48707580566406,146.82766723632812,137.5074462890625,206.74691772460938,-1.4355555772781372,1.2913888692855835,0.022361110895872116,-0.331805557012558,0.8361111283302307,-1.334861159324646,2.5165278911590576,-0.04888889193534851,-2.027083396911621,1.5266666412353516,6,6,6,141,141,141,141,5,6,2,141,7,4,-83.66,34.73,73.3618155335728,107.399484563706,116.582869209834,"c(-83.66, 34.73)"
C1401F55,14.483750343322754,14.598751068115234,15.391584396362305,15.86833381652832,14.337417602539062,128.10508728027344,128.10508728027344,122.38566589355469,112.0645980834961,171.05258178710938,-1.50124990940094,1.379722237586975,-0.1193055585026741,-0.4506944417953491,0.7229166626930237,-1.5425000190734863,2.6159722805023193,-0.7263888716697693,-2.5309722423553467,1.0216666460037231,6,4,4,141,141,141,141,8,6,2,141,7,4,-84.02,34.48,90.7732436216331,165.390192178228,165.390192178228,"c(-84.02, 34.48)"
C1401P01,13.955000877380371,14.085750579833984,14.906500816345215,15.317916870117188,13.89525032043457,129.09817504882812,129.09817504882812,135.94667053222656,120.82145690917969,195.77658081054688,-1.4844443798065186,1.2076388597488403,-0.1272222250699997,-0.3916666805744171,0.7343055605888367,-1.5722222328186035,2.2815277576446533,-0.6281944513320923,-2.3037500381469727,1.3084722757339478,6,6,4,141,141,141,141,5,5,2,141,7,7,-83.93,34.6,18.8893743597168,51.7444329674326,54.0438880165477,"c(-83.93, 34.6)"
C1401P17,15.238917350769043,15.460083961486816,15.880334854125977,16.707334518432617,15.32158374786377,88.03941345214844,88.03941345214844,105.89241790771484,82.4012680053711,145.20358276367188,-1.2624999284744263,1.2286111116409302,-0.971666693687439,-1.0045833587646484,0.3787499964237213,-0.5144444108009338,2.1104166507720947,-3.3409721851348877,-4.634444236755371,-0.45444443821907043,4,4,4,141,141,141,141,8,6,3,141,7,4,-85.16,33.78,18.303959657817,80.5254909779062,84.9112823858892,"c(-85.16, 33.78)"
C1402F02,17.57341766357422,17.404251098632812,18.38883399963379,18.706083297729492,17.20275115966797,99.474334716796875,99.474334716796875,84.87391662597656,71.76639556884766,138.52975463867188,-0.3169444501399994,1.4043055772781372,-0.6390277743339539,-1.5679166316986084,0.7515277862548828,1.1237499713897705,3.8198611736297607,-2.0569443702697754,-4.869027614593506,0.8072222471237183,6,4,4,141,142,142,190,5,3,2,142,7,4,-84.01,32.58,194.537938912746,244.957327400109,272.700378762567,"c(-84.01, 32.58)"
C1402F04,18.945167541503906,18.179834365844727,19.16783332824707,19.6594181060791,18.87841796875,83.07508087158203,83.07508087158203,94.40882873535156,102.73690795898438,111.93658447265625,-0.09402777999639511,0.011249999515712261,-1.783888816833496,-0.4419444501399994,0.39444443583488464,0.46486109495162964,0.1956944465637207,-4.015277862548828,-3.0216667652130127,0.07180555909872055,9,9,9,142,142,142,142,4,4,1,190,11,11,-81.71,31.4,18.7958910512334,44.6985782785887,69.7537594941833,"c(-81.71, 31.4)"
C1403P03,16.4585018157959,16.48375129699707,17.47308349609375,17.986499786376953,16.480501174926758,98.04808044433594,98.04808044433594,75.32324981689453,76.92737579345703,124.80133056640625,-1.0038888454437256,1.0423611402511597,-0.7766666412353516,-1.6527777910232544,0.2701388895511627,0.38152778148651123,2.7986111640930176,-2.6837499141693115,-5.088472366333008,-0.5616666674613953,6,4,4,142,142,142,142,5,2,1,142,7,7,-82.44,33.720000000000006,27.5142628184733,50.0343345330357,66.2503007784198,"c(-82.44, 33.72)"
C1403P07,14.378334045410156,14.519083976745605,15.322834014892578,15.781333923339844,14.336167335510254,121.43575286865234,121.43575286865234,117.58149719238281,112.1363525390625,160.20066833496094,-1.5123610496520996,1.3883333206176758,-0.1354166716337204,-0.5043055415153503,0.7406944632530212,-1.4934722185134888,2.5873610973358154,-0.4315277934074402,-2.700972318649292,1.099583387374878,4,4,4,142,176,176,176,6,5,2,176,7,4,-83.88,34.49,16.8950003631937,51.0083605377668,102.713150008742,"c(-83.88, 34.49)"
C1403W07,18.701499938964844,18.238834381103516,19.419668197631836,19.768083572387695,18.96233367919922,86.492584228515625,86.492584228515625,81.8899154663086,92.97435760498047,131.12074279785156,-0.1597222238779068,0.573888897895813,-1.5475000143051147,-0.8563888669013977,0.47958332300186157,1.2834721803665161,1.386388897895813,-3.61472225189209,-3.7850000858306885,0.6973611116409302,6,6,6,190,195,195,176,2,2,1,190,9,6,-82.32,31.6,29.3463944554738,114.440191295943,227.389465688386,"c(-82.32, 31.6)"
C1404F03,16.979084014892578,16.965417861938477,18.06333351135254,18.638751983642578,17.194250106811523,104.0129165649414,104.0129165649414,71.71833038330078,75.28050994873047,143.64633178710938,-0.4050000011920929,1.8527777194976807,-0.5566666722297668,-1.735694408416748,0.7180555462837219,1.1936111450195312,4.53291654586792,-1.5218055248260498,-5.21013879776001,0.8226389288902283,6,4,4,142,142,142,142,6,4,1,142,7,4,-83.4,33.059999999999995,150.506630635221,189.238975401383,212.785533172271,"c(-83.4, 33.06)"
C1405P01,19.34433364868164,18.501916885375977,19.50633430480957,19.988834381103516,19.299667358398438,84.1630859375,84.1630859375,83.72166442871094,113.26705932617188,116.96558380126953,-0.08416666835546494,0.15416666865348816,-1.3937499523162842,-0.10722222179174423,0.3247222304344177,0.628333330154419,0.38680556416511536,-3.5893056392669678,-2.492222309112549,0.06861110776662827,6,9,9,190,190,190,190,9,7,6,190,9,9,-81.99,31.02,28.641495000717,438.706091814194,3623.8860550597,"c(-81.99, 31.02)"
C1405W57,19.5887508392334,18.761751174926758,19.822166442871094,20.24683380126953,19.690500259399414,86.03516387939453,86.03516387939453,89.14624786376953,111.90701293945312,110.2880859375,-0.0912499949336052,0.1490277796983719,-1.3874999284744263,-0.03361111134290695,0.3652777671813965,0.6576389074325562,0.7202777862548828,-3.4955556392669678,-2.6254167556762695,0.2762500047683716,9,9,9,195,195,195,190,10,10,6,190,9,9,-82.15,30.959999999999994,144.69643859597,925.833230217742,3332.15942539306,"c(-82.15, 30.96)"
C1406W04,19.123167037963867,18.45708465576172,19.556333541870117,19.901334762573242,19.41916847229004,90.77549743652344,90.77549743652344,81.7802505493164,91.67498016357422,118.9489974975586,-0.12055554986000061,0.3043055534362793,-1.5093055963516235,-0.6227777600288391,0.4498611092567444,1.2283333539962769,0.8052777647972107,-3.5458333492279053,-3.361527681350708,0.5787500143051147,6,6,6,121,121,121,121,2,2,1,121,11,9,-82.39,31.409999999999993,79.901647745407,154.695016136651,338.110447766656,"c(-82.39, 31.41)"
C1406X02,18.745834350585938,18.172334671020508,19.401334762573242,19.806001663208008,19.07058334350586,84.41608428955078,84.41608428955078,81.8560791015625,104.86491394042969,124.53700256347656,-0.15458333492279053,0.15569445490837097,-1.6737500429153442,-0.6150000095367432,0.425555557012558,0.9895833134651184,0.6384721994400024,-3.605555534362793,-3.4294445514678955,0.5008333325386047,6,6,9,142,176,152,63,2,2,2,152,9,9,-82.25,31.489999999999995,220.088315048873,245.650157142738,259.082356516679,"c(-82.25, 31.49)"
C1407F10,14.553084373474121,14.68166732788086,15.457834243774414,15.939667701721191,14.427583694458008,122.21875,122.21875,113.31683349609375,105.46353149414062,165.98899841308594,-1.4874999523162842,1.3155555725097656,-0.2026388943195343,-0.5179166793823242,0.7302777767181396,-1.4508333206176758,2.543750047683716,-0.8318055272102356,-2.680555582046509,1.0130555629730225,6,7,4,141,141,141,141,8,5,2,141,7,7,-83.97,34.45,22.0638687643871,62.8132405179068,83.1827171467959,"c(-83.97, 34.45)"
C1407P10,15.342667579650879,15.532417297363281,16.126501083374023,16.772666931152344,15.40725040435791,101.38633728027344,101.38633728027344,95.23458099365234,98.27406311035156,137.87008666992188,-1.1905555725097656,1.4756944179534912,-0.47583332657814026,-0.9590277671813965,0.45944443345069885,-0.23624999821186066,3.3965277671813965,-1.7970833778381348,-4.0679168701171875,-0.35972222685813904,4,4,4,142,142,142,142,4,3,2,142,7,7,-85.23,33.37,29.0954087201711,72.6417105163274,101.104577577033,"c(-85.23, 33.37)"
C1407P18,15.471334457397461,15.695000648498535,16.62933349609375,17.048917770385742,15.578417778015137,105.00858306884766,105.00858306884766,93.20649719238281,85.80854034423828,152.3040771484375,-1.0749999284744263,1.639444351196289,-0.27166667580604553,-0.9461110830307007,0.6280555725097656,-0.691527783870697,3.6902778148651123,-0.9266666769981384,-3.539722204208374,0.6541666388511658,4,4,4,141,141,141,141,3,2,1,141,7,4,-83.17,34.31,17.5784853003819,43.8581023810027,68.4648306796324,"c(-83.17, 34.31)"
C1407P25,16.02741813659668,16.393251419067383,17.291584014892578,17.65850067138672,16.197917938232422,101.19116973876953,101.19116973876953,90.27458190917969,91.56107330322266,127.1919174194336,-1.3762500286102295,1.504166603088379,-0.38902777433395386,-1.3523610830307007,0.16874998807907104,-0.8501389026641846,3.3602778911590576,-1.6579166650772095,-4.428333282470703,-0.4715277850627899,4,4,4,141,142,142,142,4,3,1,142,7,7,-83.66,33.9,71.8759568965933,92.4514194408304,121.754182683699,"c(-83.66, 33.9)"
C1407P26,14.879000663757324,15.006333351135254,15.845417022705078,16.23116683959961,14.995000839233398,86.73583221435547,86.73583221435547,90.48191833496094,83.30195617675781,127.22091674804688,-1.2130554914474487,1.3104166984558105,-0.5870833396911621,-1.12458336353302,0.40666666626930237,0.558055579662323,3.0586111545562744,-2.1600000858306885,-3.9119443893432617,0.3119444251060486,4,4,4,37,176,176,176,2,2,1,176,7,4,-82.81,34.05,19.175822461102,38.1432126494154,57.6758876586107,"c(-82.81, 34.05)"
C1408C05,18.33475112915039,18.09633445739746,19.17766761779785,19.539417266845703,18.56941795349121,101.69541931152344,101.69541931152344,76.06291961669922,91.56639862060547,135.28224182128906,-0.10999999940395355,1.297361135482788,-0.9965277314186096,-1.2181943655014038,0.5566666722297668,1.7401388883590698,3.3043055534362793,-2.243333339691162,-4.0188889503479,0.8536111116409302,6,6,6,2,10,2,2,2,2,1,2,9,9,-82.63,31.81,10.2076428066417,41.8485853214132,NA,"c(-82.63, 31.81)"
C1408F03,18.95941734313965,18.362001419067383,19.401084899902344,19.817916870117188,19.220500946044922,85.54716491699219,85.54716491699219,92.49883270263672,84.67497253417969,116.81632995605469,-0.5299999713897705,0.32152777910232544,-1.451111078262329,-0.8766666650772095,0.5583333373069763,0.5899999737739563,0.851805567741394,-3.320833206176758,-3.796388864517212,0.6575000286102295,6,6,9,142,142,142,142,3,3,1,142,11,9,-83.21,31.24,23.6914741960823,55.3175812285824,97.8156732535563,"c(-83.21, 31.24)"
C1408F23,18.95941734313965,18.362001419067383,19.401084899902344,19.817916870117188,19.220500946044922,85.54716491699219,85.54716491699219,92.49883270263672,84.67497253417969,116.81632995605469,-0.5299999713897705,0.32152777910232544,-1.451111078262329,-0.8766666650772095,0.5583333373069763,0.5899999737739563,0.851805567741394,-3.320833206176758,-3.796388864517212,0.6575000286102295,6,6,9,142,142,190,190,4,4,1,142,9,9,-83.2,31.26,138.207996574146,181.352874421705,260.682620291963,"c(-83.2, 31.26)"
C1408F30,19.27808380126953,18.545583724975586,19.75800132751465,19.872501373291016,19.63916778564453,98.66542053222656,98.66542053222656,87.688079833984375,98.2942886352539,142.13099670410156,-0.06777777522802353,0.3293055593967438,-1.425694465637207,-0.4833333194255829,0.47458332777023315,1.1168055534362793,0.6245833039283752,-3.349722146987915,-2.851527690887451,0.7673611044883728,9,9,9,142,142,142,142,4,3,2,190,11,11,-82.32,31.3,178.739348883744,221.58190528344,243.878313769155,"c(-82.32, 31.3)"
C1408F68,19.407917022705078,18.552583694458008,19.503583908081055,19.896583557128906,19.61600112915039,91.0739974975586,91.0739974975586,87.75416564941406,98.66858673095703,114.64458465576172,-0.15125000476837158,0.39277777075767517,-1.1079167127609253,-0.39444443583488464,0.41361111402511597,1.1320832967758179,1.0494444370269775,-2.969444513320923,-2.6701388359069824,0.8180555701255798,9,9,9,142,142,152,176,3,4,2,152,11,9,-82.48,31.230000000000004,63.9885586366024,111.774796449037,128.254395719698,"c(-82.48, 31.23)"
C1408F72,19.270084381103516,18.484834671020508,19.498334884643555,19.70775032043457,19.090167999267578,85.49983215332031,85.49983215332031,82.00382995605469,125.35035705566406,112.32566833496094,-0.19138889014720917,-0.0672222226858139,-1.7790277004241943,-0.20819443464279175,0.23208333551883698,0.6725000143051147,-0.08916666358709335,-4.199583530426025,-3.164583444595337,-0.9738888740539551,6,6,6,190,142,142,142,5,3,1,190,9,9,-81.79,30.929999999999996,121.109892777935,143.312951976117,158.084033403404,"c(-81.79, 30.93)"
C1408F74,18.89641761779785,18.18366813659668,19.210250854492188,19.689666748046875,18.841001510620117,85.84600067138672,85.84600067138672,79.89324951171875,99.68170166015625,106.63941955566406,-0.13152778148651123,0.08583333343267441,-1.6645833253860474,-0.47111111879348755,0.3812499940395355,0.3673611283302307,0.23055554926395416,-3.758333444595337,-2.9362499713897705,0.010694440454244614,9,9,11,142,142,142,142,9,8,2,190,11,11,-81.72,31.48,77.8831448497452,106.867497993064,165.515881908189,"c(-81.72, 31.48)"
C1408F99,19.092334747314453,18.27833366394043,19.29541778564453,19.708168029785156,19.000917434692383,82.99541473388672,82.99541473388672,93.97708892822266,127.60941314697266,116.65650177001953,-0.20472222566604614,-0.19263888895511627,-1.883055567741394,-0.3459722399711609,0.20125000178813934,0.05833333730697632,-0.08944444358348846,-4.410416603088379,-3.5199999809265137,-1.0647221803665161,6,6,6,142,142,142,176,25,25,24,152,9,9,-81.73,31.14000000000001,126.20546499516,624.515868144805,1531.32750280448,"c(-81.73, 31.14)"
C1408P05,17.219167709350586,17.047666549682617,17.912668228149414,18.489334106445312,16.818334579467773,101.17324829101562,101.17324829101562,74.30858612060547,78.22765350341797,148.7133331298828,-0.3952777683734894,1.4284721612930298,-0.78166663646698,-1.90625,0.5405555963516235,1.390138864517212,3.488055467605591,-2.4086110591888428,-4.858611106872559,0.585277795791626,6,7,7,37,176,176,37,2,2,1,61,9,7,-84.22,32.650000000000006,21.9417389681881,58.8166732508508,78.7924575764179,"c(-84.22, 32.65)"
C1408P07,17.047250747680664,16.873750686645508,17.70050048828125,18.243501663208008,16.683168411254883,101.00199890136719,101.00199890136719,79.14600372314453,79.521575927734375,146.7600860595703,-0.504027783870697,1.361111044883728,-0.7800000309944153,-1.7043055295944214,0.4595833420753479,1.054444432258606,3.2326388359069824,-2.75166654586792,-4.818194389343262,0.34013888239860535,6,4,4,176,176,1,176,4,3,1,176,7,4,-84.32,32.69,10.8789371757571,30.023248106756,49.4686397892024,"c(-84.32, 32.69)"
C1408P13,18.92041778564453,18.37350082397461,19.38483428955078,19.659500122070312,19.1108341217041,93.9705810546875,93.9705810546875,89.17749786376953,96.16520690917969,116.0538330078125,-0.4129166603088379,0.7372221946716309,-0.5223610997200012,-0.6862500309944153,0.5368055701255798,0.8616666793823242,2.224583387374878,-1.8143055438995361,-3.1754167079925537,0.9411110877990723,6,6,9,2,2,2,2,3,3,1,10,11,9,-82.84,31.340000000000003,10.4986643716888,26.7363251283562,40.1136535061549,"c(-82.84, 31.34)"
C1408W01,19.00191879272461,18.399084091186523,19.45341682434082,19.841333389282227,19.257583618164062,92.07466888427734,92.07466888427734,96.796417236328125,85.6753158569336,114.06449890136719,-0.46361109614372253,0.5306944251060486,-1.0083333253860474,-0.7820833325386047,0.5337499976158142,0.7009721994400024,1.4583333730697632,-2.8072221279144287,-3.5301389694213867,0.6586111187934875,6,6,9,122,122,122,122,2,2,1,121,9,9,-83.1,31.189999999999994,101.610617409046,181.852804852181,215.853824338779,"c(-83.1, 31.19)"
C1501C01,17.867000579833984,17.566917419433594,18.666500091552734,19.092166900634766,18.192834854125977,98.09532928466797,98.09532928466797,85.22125244140625,82.537384033203125,120.33916473388672,-0.38236111402511597,1.5601388216018677,-1.0390278100967407,-1.5706944465637207,0.7793055176734924,0.8629166483879089,3.7318055629730225,-2.396111011505127,-4.715555667877197,1.1687500476837158,6,6,6,142,190,142,190,4,3,1,190,9,6,-82.91,32.190000000000005,5.08513554027435,30.5108132416461,66.936575940852,"c(-82.91, 32.19)"
C1501F01,18.3022518157959,18.09366798400879,19.066083908081055,19.287918090820312,18.171751022338867,104.28675079345703,104.28675079345703,82.01316833496094,86.09873962402344,110.0703353881836,-0.3308333456516266,1.3540277481079102,-0.9155555367469788,-1.4486110210418701,0.7452777624130249,0.5045833587646484,3.104722261428833,-2.2691667079925537,-4.4463887214660645,1.0218055248260498,6,6,6,142,152,152,176,2,2,1,152,9,6,-82.44,32.41,3.12139382009412,17.3839658214431,33.5216697608136,"c(-82.44, 32.41)"
C1501F07,18.309083938598633,18.02883529663086,19.16425132751465,19.257417678833008,18.03849983215332,105.3169174194336,105.3169174194336,80.93091583251953,89.49616241455078,126.48983001708984,-0.34555554389953613,1.4945833683013916,-0.6698611378669739,-1.5049999952316284,0.7716666460037231,0.49513888359069824,3.4301388263702393,-1.6754167079925537,-4.438194274902344,1.2898610830307007,6,6,6,61,61,176,176,6,4,1,61,9,6,-82.45,32.57000000000001,11.4874310255354,29.3507064048558,40.6983912614433,"c(-82.45, 32.57)"
C1501P04,18.835416793823242,18.622833251953125,19.45050048828125,19.55058479309082,18.596834182739258,83.90191650390625,83.90191650390625,83.60224914550781,95.26435852050781,131.3423309326172,-0.4059722125530243,1.0543055534362793,-1.324722170829773,-1.2112499475479126,0.7430555820465088,0.23666666448116302,2.0280556678771973,-3.1947221755981445,-4.385972023010254,1.0741666555404663,6,6,6,190,190,190,141,4,2,1,190,9,6,-82.05,32.43,9.71659391011534,49.8282763204529,64.2861537931141,"c(-82.05, 32.43)"
