temp_09.tif,temp_10.tif,temp_11.tif,temp_12.tif,temp_13.tif,prep_09.tif,prep_10.tif,prep_11.tif,prep_12.tif,prep_13.tif,spi_09,spi_10,spi_11,spi_12,spi_13,di_09,di_10,di_11,di_12,di_13,st_200_e,st_100_e,st_60_e,cl_13_e,cl_12_e,cl_11_e,cl_10_e,soc_0.tif,soc_10.tif,soc_30.tif,cl_09,st_0,st_30_e,geometry,x,y
14.740500450134277,14.626750946044922,15.06433391571045,15.72116756439209,14.230500221252441,98.73224639892578,98.73224639892578,128.7816619873047,104.99837493896484,153.09242248535156,-1.346111059,0.7336111068725586,-0.298194438,0.025694445,0.6570833325386047,-0.825694442,1.2002778053283691,-1.78347218,-1.982777834,0.5781944394111633,4,4,4,37,176,176,176,6,4,2,37,7,7,"c(-85.31, 34.41)",-85.31,34.41
15.01733398,15.316834449768066,15.87208366394043,16.450668334960938,14.965084075927734,95.57575225830078,95.57575225830078,102.07550048828125,89.99468231201172,141.49566650390625,-1.157361031,1.2769443988800049,-0.9375,-1.030833364,0.47708335518836975,0.24500000476837158,2.2655556201934814,-3.369166613,-4.711805344,-0.492361099,4,4,4,141,141,142,142,6,4,2,141,8,7,"c(-85.3, 33.62)",-85.3,33.61999999999999
15.048251152038574,15.265334129333496,15.837000846862793,16.420751571655273,15.117584228515625,97.68482971191406,97.68482971191406,94.92883301,97.74676513671875,140.46417236328125,-1.211527705,1.307361125946045,-0.697222233,-0.877499998,0.5736111402511597,0.42666667699813843,3.0756945610046387,-2.604583263,-3.974166632,-0.028888885,4,4,4,141,142,152,152,5,4,1,1,7,7,"c(-85.26, 33.34)",-85.26,33.34
15.181584358215332,15.303084373474121,15.860167503356934,16.460500717163086,14.518750190734863,103.14541625976562,103.14541625976562,136.6162567138672,102.91345977783203,146.7501678466797,-1.125972152,0.9293055534362793,0.578333318,0.6936110854148865,1.3393055200576782,-1.000138879,1.8101389408111572,0.5066666603088379,-0.437361121,2.0054166316986084,4,4,4,37,37,37,37,3,3,1,176,8,7,"c(-85.26, 34.86)",-85.26,34.86
15.112667083740234,15.441166877746582,15.825167655944824,16.510168075561523,15.168084144592285,93.894500732421875,93.894500732421875,99.12383270263672,89.789947509765625,150.50050354003906,-1.221388817,1.240694522857666,-0.912083328,-1.025555611,0.433472216,-0.381111115,2.269583225250244,-3.241250038,-4.700416565,-0.337916672,7,4,4,121,121,121,121,8,4,1,121,7,4,"c(-85.26, 33.74)",-85.26,33.739999999999995
14.992167472839355,15.295917510986328,15.692917823791504,16.448251724243164,15.150500297546387,91.63783264160156,91.63783264160156,102.9766616821289,91.154876708984375,154.69190979003906,-1.221388817,1.240694522857666,-0.912083328,-1.025555611,0.433472216,-0.381111115,2.269583225250244,-3.241250038,-4.700416565,-0.337916672,4,4,4,141,141,141,141,5,3,2,141,7,7,"c(-85.25, 33.78)",-85.25,33.78
15.710250854492188,15.523500442504883,15.872000694274902,16.711000442504883,15.104917526245117,94.00299835205078,94.00299835205078,112.4314193725586,94.28649902,145.89100646972656,-1.420138836,0.7754166722297668,-0.531944454,-0.556249976,0.4156944453716278,-0.942638874,1.4591666460037231,-2.276666641,-3.235694408,0.019166676327586174,4,4,4,122,122,122,122,4,3,1,122,7,7,"c(-85.24, 34.26)",-85.24,34.26
15.342667579650879,15.532417297363281,16.126501083374023,16.772666931152344,15.40725040435791,101.38633728027344,101.38633728027344,95.23458099365234,98.27406311035156,137.87008666992188,-1.190555573,1.4756944179534912,-0.475833327,-0.959027767,0.45944443345069885,-0.236249998,3.3965277671813965,-1.797083378,-4.06791687,-0.359722227,4,4,4,142,142,142,142,4,3,2,142,7,7,"c(-85.23, 33.37)",-85.23,33.37
15.235417366027832,15.26691722869873,15.75141716003418,16.83125114440918,15.265917778015137,95.31816864013672,95.31816864013672,106.66808319091797,82.91770172,152.85874938964844,-1.343611121,0.9956944584846497,-0.645277798,-0.844166636,0.22513888776302338,-0.738611102,1.8556944131851196,-2.754444361,-4.283888817,-0.765555561,4,4,4,143,143,142,142,3,2,1,141,8,7,"c(-85.18, 34.06)",-85.18,34.06000000000001
15.238917350769043,15.460083961486816,15.880334854125977,16.707334518432617,15.32158374786377,88.03941345214844,88.03941345214844,105.89241790771484,82.40126801,145.20358276367188,-1.262499928,1.2286111116409302,-0.971666694,-1.004583359,0.3787499964237213,-0.514444411,2.1104166507720947,-3.340972185,-4.634444237,-0.454444438,4,4,4,141,141,141,141,8,6,3,141,7,4,"c(-85.16, 33.78)",-85.16,33.78
15.141667366027832,15.267583847045898,15.94816780090332,16.678333282470703,14.782334327697754,95.61891174316406,95.61891174316406,131.6201629638672,97.59782409667969,152.18682861328125,-1.290555477,0.6573610901832581,0.1837500035762787,0.5301389098167419,0.9116666913032532,-1.524444461,0.8934722542762756,-0.023194445,-0.734027803,1.2177777290344238,4,4,4,141,141,141,141,6,6,2,141,7,7,"c(-85.13, 34.81)",-85.13,34.809999999999995
